pr_number,reviewer,state,submitted_at,body
46,Charlie,APPROVED,2025-07-01T00:00:00Z,Review comment by Charlie
3,Charlie,COMMENTED,2025-07-01T00:00:00Z,Review comment by Charlie
69,Charlie,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Charlie
52,Charlie,COMMENTED,2025-08-01T00:00:00Z,Review comment by Charlie
57,Charlie,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Charlie
4,Charlie,COMMENTED,2025-08-01T00:00:00Z,Review comment by Charlie
60,Charlie,COMMENTED,2025-08-01T00:00:00Z,Review comment by Charlie
49,Charlie,COMMENTED,2025-08-01T00:00:00Z,Review comment by Charlie
44,Charlie,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Charlie
73,Charlie,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Charlie
13,Charlie,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Charlie
62,Charlie,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Charlie
61,Charlie,APPROVED,2025-08-01T00:00:00Z,Review comment by Charlie
87,Charlie,COMMENTED,2025-09-01T00:00:00Z,Review comment by Charlie
21,Charlie,CHANGES_REQUESTED,2025-09-01T00:00:00Z,Review comment by Charlie
66,Charlie,APPROVED,2025-09-01T00:00:00Z,Review comment by Charlie
26,Charlie,COMMENTED,2025-09-01T00:00:00Z,Review comment by Charlie
97,Charlie,APPROVED,2025-09-01T00:00:00Z,Review comment by Charlie
82,Charlie,COMMENTED,2025-09-01T00:00:00Z,Review comment by Charlie
25,Charlie,CHANGES_REQUESTED,2025-09-01T00:00:00Z,Review comment by Charlie
19,Charlie,CHANGES_REQUESTED,2025-09-01T00:00:00Z,Review comment by Charlie
19,Charlie,COMMENTED,2025-09-01T00:00:00Z,Review comment by Charlie
60,Charlie,COMMENTED,2025-09-01T00:00:00Z,Review comment by Charlie
62,Charlie,CHANGES_REQUESTED,2025-10-01T00:00:00Z,Review comment by Charlie
44,Charlie,COMMENTED,2025-10-01T00:00:00Z,Review comment by Charlie
81,Charlie,CHANGES_REQUESTED,2025-10-01T00:00:00Z,Review comment by Charlie
6,Charlie,COMMENTED,2025-10-01T00:00:00Z,Review comment by Charlie
46,Charlie,COMMENTED,2025-10-01T00:00:00Z,Review comment by Charlie
88,Charlie,CHANGES_REQUESTED,2025-10-01T00:00:00Z,Review comment by Charlie
63,Charlie,COMMENTED,2025-10-01T00:00:00Z,Review comment by Charlie
38,Charlie,COMMENTED,2025-10-01T00:00:00Z,Review comment by Charlie
50,Charlie,APPROVED,2025-10-01T00:00:00Z,Review comment by Charlie
74,Charlie,APPROVED,2025-10-01T00:00:00Z,Review comment by Charlie
94,Charlie,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Charlie
59,Charlie,COMMENTED,2025-11-01T00:00:00Z,Review comment by Charlie
34,Charlie,APPROVED,2025-11-01T00:00:00Z,Review comment by Charlie
35,Charlie,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Charlie
69,Charlie,APPROVED,2025-11-01T00:00:00Z,Review comment by Charlie
100,Charlie,COMMENTED,2025-11-01T00:00:00Z,Review comment by Charlie
9,Charlie,APPROVED,2025-11-01T00:00:00Z,Review comment by Charlie
97,Charlie,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Charlie
41,Charlie,APPROVED,2025-11-01T00:00:00Z,Review comment by Charlie
79,Charlie,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Charlie
47,Charlie,APPROVED,2025-12-01T00:00:00Z,Review comment by Charlie
68,Charlie,COMMENTED,2025-12-01T00:00:00Z,Review comment by Charlie
12,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
79,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
46,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
95,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
60,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
59,Charlie,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Charlie
26,Charlie,APPROVED,2025-12-01T00:00:00Z,Review comment by Charlie
11,Charlie,COMMENTED,2025-12-01T00:00:00Z,Review comment by Charlie
