pr_number,reviewer,state,submitted_at,body
45,Alice,CHANGES_REQUESTED,2025-03-01T00:00:00Z,Review comment by Alice
84,Alice,COMMENTED,2025-03-01T00:00:00Z,Review comment by Alice
83,Alice,APPROVED,2025-03-01T00:00:00Z,Review comment by Alice
8,Alice,APPROVED,2025-04-01T00:00:00Z,Review comment by Alice
79,Alice,APPROVED,2025-04-01T00:00:00Z,Review comment by Alice
46,Alice,COMMENTED,2025-04-01T00:00:00Z,Review comment by Alice
30,Alice,COMMENTED,2025-04-01T00:00:00Z,Review comment by Alice
50,Alice,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Alice
22,Alice,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Alice
4,Alice,APPROVED,2025-04-01T00:00:00Z,Review comment by Alice
62,Alice,COMMENTED,2025-04-01T00:00:00Z,Review comment by Alice
31,Alice,COMMENTED,2025-04-01T00:00:00Z,Review comment by Alice
37,Alice,CHANGES_REQUESTED,2025-04-01T00:00:00Z,Review comment by Alice
49,Alice,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Alice
50,Alice,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Alice
40,Alice,COMMENTED,2025-05-01T00:00:00Z,Review comment by Alice
61,Alice,COMMENTED,2025-05-01T00:00:00Z,Review comment by Alice
94,Alice,APPROVED,2025-05-01T00:00:00Z,Review comment by Alice
83,Alice,APPROVED,2025-05-01T00:00:00Z,Review comment by Alice
32,Alice,APPROVED,2025-05-01T00:00:00Z,Review comment by Alice
11,Alice,CHANGES_REQUESTED,2025-05-01T00:00:00Z,Review comment by Alice
48,Alice,COMMENTED,2025-05-01T00:00:00Z,Review comment by Alice
54,Alice,APPROVED,2025-05-01T00:00:00Z,Review comment by Alice
52,Alice,CHANGES_REQUESTED,2025-06-01T00:00:00Z,Review comment by Alice
5,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
40,Alice,COMMENTED,2025-06-01T00:00:00Z,Review comment by Alice
36,Alice,CHANGES_REQUESTED,2025-06-01T00:00:00Z,Review comment by Alice
34,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
71,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
20,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
94,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
35,Alice,COMMENTED,2025-06-01T00:00:00Z,Review comment by Alice
15,Alice,APPROVED,2025-06-01T00:00:00Z,Review comment by Alice
41,Alice,COMMENTED,2025-07-01T00:00:00Z,Review comment by Alice
48,Alice,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Alice
34,Alice,COMMENTED,2025-07-01T00:00:00Z,Review comment by Alice
100,Alice,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Alice
92,Alice,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Alice
65,Alice,APPROVED,2025-07-01T00:00:00Z,Review comment by Alice
88,Alice,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Alice
8,Alice,COMMENTED,2025-07-01T00:00:00Z,Review comment by Alice
13,Alice,CHANGES_REQUESTED,2025-07-01T00:00:00Z,Review comment by Alice
50,Alice,COMMENTED,2025-07-01T00:00:00Z,Review comment by Alice
90,Alice,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Alice
36,Alice,COMMENTED,2025-08-01T00:00:00Z,Review comment by Alice
95,Alice,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Alice
30,Alice,APPROVED,2025-08-01T00:00:00Z,Review comment by Alice
95,Alice,COMMENTED,2025-08-01T00:00:00Z,Review comment by Alice
95,Alice,APPROVED,2025-08-01T00:00:00Z,Review comment by Alice
5,Alice,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Alice
13,Alice,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Alice
5,Alice,CHANGES_REQUESTED,2025-08-01T00:00:00Z,Review comment by Alice
27,Alice,APPROVED,2025-08-01T00:00:00Z,Review comment by Alice
2,Alice,COMMENTED,2025-09-01T00:00:00Z,Review comment by Alice
67,Alice,CHANGES_REQUESTED,2025-09-01T00:00:00Z,Review comment by Alice
28,Alice,APPROVED,2025-09-01T00:00:00Z,Review comment by Alice
52,Alice,COMMENTED,2025-09-01T00:00:00Z,Review comment by Alice
34,Alice,COMMENTED,2025-09-01T00:00:00Z,Review comment by Alice
39,Alice,APPROVED,2025-09-01T00:00:00Z,Review comment by Alice
71,Alice,APPROVED,2025-09-01T00:00:00Z,Review comment by Alice
96,Alice,CHANGES_REQUESTED,2025-09-01T00:00:00Z,Review comment by Alice
97,Alice,APPROVED,2025-09-01T00:00:00Z,Review comment by Alice
56,Alice,COMMENTED,2025-09-01T00:00:00Z,Review comment by Alice
37,Alice,COMMENTED,2025-10-01T00:00:00Z,Review comment by Alice
76,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
90,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
28,Alice,CHANGES_REQUESTED,2025-10-01T00:00:00Z,Review comment by Alice
43,Alice,COMMENTED,2025-10-01T00:00:00Z,Review comment by Alice
59,Alice,COMMENTED,2025-10-01T00:00:00Z,Review comment by Alice
33,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
9,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
88,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
79,Alice,APPROVED,2025-10-01T00:00:00Z,Review comment by Alice
48,Alice,COMMENTED,2025-11-01T00:00:00Z,Review comment by Alice
77,Alice,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Alice
94,Alice,COMMENTED,2025-11-01T00:00:00Z,Review comment by Alice
46,Alice,APPROVED,2025-11-01T00:00:00Z,Review comment by Alice
97,Alice,COMMENTED,2025-11-01T00:00:00Z,Review comment by Alice
2,Alice,CHANGES_REQUESTED,2025-11-01T00:00:00Z,Review comment by Alice
93,Alice,APPROVED,2025-11-01T00:00:00Z,Review comment by Alice
16,Alice,COMMENTED,2025-11-01T00:00:00Z,Review comment by Alice
66,Alice,COMMENTED,2025-11-01T00:00:00Z,Review comment by Alice
23,Alice,APPROVED,2025-11-01T00:00:00Z,Review comment by Alice
32,Alice,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Alice
45,Alice,COMMENTED,2025-12-01T00:00:00Z,Review comment by Alice
5,Alice,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Alice
63,Alice,APPROVED,2025-12-01T00:00:00Z,Review comment by Alice
86,Alice,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Alice
27,Alice,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Alice
26,Alice,CHANGES_REQUESTED,2025-12-01T00:00:00Z,Review comment by Alice
69,Alice,APPROVED,2025-12-01T00:00:00Z,Review comment by Alice
17,Alice,COMMENTED,2025-12-01T00:00:00Z,Review comment by Alice
8,Alice,APPROVED,2025-12-01T00:00:00Z,Review comment by Alice
